"","irr_frac","simulation","design","nsim","dose","sd"
"265","0.875","p","I500","10000","5",0.160668373778103
"266","0.75","p","ca1","10000","0",0.0230023917707182
"267","0.75","p","classical","10000","0",0.0910405404992804
"268","0.75","p","D","10000","0",0.0544613964580544
"269","0.75","p","I50","10000","0",0.0746635275384881
"270","0.75","p","I500","10000","0",0.0740416290266598
"271","0.75","p","ca1","10000","0.1",0.233162370462147
"272","0.75","p","classical","10000","0.1",0.234859991528378
"273","0.75","p","D","10000","0.1",0.234410153602832
"274","0.75","p","I50","10000","0.1",0.238563155582293
"275","0.75","p","I500","10000","0.1",0.244690489581093
"276","0.75","p","ca1","10000","0.25",0.364058918161341
"277","0.75","p","classical","10000","0.25",0.369693601393614
"278","0.75","p","D","10000","0.25",0.38757693879945
"279","0.75","p","I50","10000","0.25",0.410909267152202
"280","0.75","p","I500","10000","0.25",0.390454198981502
"281","0.75","p","ca1","10000","0.5",0.444402061124172
"282","0.75","p","classical","10000","0.5",0.44843963262482
"283","0.75","p","D","10000","0.5",0.451719365142331
"284","0.75","p","I50","10000","0.5",0.442528055487756
"285","0.75","p","I500","10000","0.5",0.45235037648292
"286","0.75","p","ca1","10000","0.75",0.386031586974985
"287","0.75","p","classical","10000","0.75",0.385544956134489
"288","0.75","p","D","10000","0.75",0.382382440990239
"289","0.75","p","I50","10000","0.75",0.384627272674467
"290","0.75","p","I500","10000","0.75",0.384928155364611
"291","0.75","p","ca1","10000","1",0.349123475872099
"292","0.75","p","classical","10000","1",0.349021106396271
"293","0.75","p","D","10000","1",0.354034839604807
"294","0.75","p","I50","10000","1",0.347026418458538
"295","0.75","p","I500","10000","1",0.350561476202221
"296","0.75","p","ca1","10000","1.5",0.324994139356258
"297","0.75","p","classical","10000","1.5",0.326408504069408
"298","0.75","p","D","10000","1.5",0.325683091695052
"299","0.75","p","I50","10000","1.5",0.325326481209188
"300","0.75","p","I500","10000","1.5",0.326114376835325
"301","0.75","p","ca1","10000","2",0.309004504347285
"302","0.75","p","classical","10000","2",0.307280187854606
"303","0.75","p","D","10000","2",0.307564481124701
"304","0.75","p","I50","10000","2",0.306799955198124
"305","0.75","p","I500","10000","2",0.300742725160733
"306","0.75","p","ca1","10000","3",0.246403787767541
"307","0.75","p","classical","10000","3",0.253065437433522
"308","0.75","p","D","10000","3",0.246402950713209
"309","0.75","p","I50","10000","3",0.245099207579855
"310","0.75","p","I500","10000","3",0.245947077563267
"311","0.75","p","ca1","10000","4",0.215658847704339
"312","0.75","p","classical","10000","4",0.23456910165445
"313","0.75","p","D","10000","4",0.211699939915563
"314","0.75","p","I50","10000","4",0.21340412108068
"315","0.75","p","I500","10000","4",0.211557192973981
"316","0.75","p","ca1","10000","5",0.20474268681126
"317","0.75","p","classical","10000","5",0.240090030416958
"318","0.75","p","D","10000","5",0.201979595162333
"319","0.75","p","I50","10000","5",0.19957841350707
"320","0.75","p","I500","10000","5",0.199676238507902
"321","0.5","p","ca1","10000","0",0.0647553027630943
"322","0.5","p","classical","10000","0",0.0529074520285919
"323","0.5","p","D","10000","0",0.0726677239090168
"324","0.5","p","I50","10000","0",0.0406158879616324
"325","0.5","p","I500","10000","0",0.0409202781038135
"326","0.5","p","ca1","10000","0.1",0.214479869113573
"327","0.5","p","classical","10000","0.1",0.225526371945045
"328","0.5","p","D","10000","0.1",0.190791058385339
"329","0.5","p","I50","10000","0.1",0.215837422478262
"330","0.5","p","I500","10000","0.1",0.183271751293372
"331","0.5","p","ca1","10000","0.25",0.404457974025521
"332","0.5","p","classical","10000","0.25",0.402476463959244
"333","0.5","p","D","10000","0.25",0.394250199947533
"334","0.5","p","I50","10000","0.25",0.410093231940574
"335","0.5","p","I500","10000","0.25",0.408177980773601
"336","0.5","p","ca1","10000","0.5",0.522515087662418
"337","0.5","p","classical","10000","0.5",0.533104312707789
"338","0.5","p","D","10000","0.5",0.54139185065968
"339","0.5","p","I50","10000","0.5",0.535753184508662
"340","0.5","p","I500","10000","0.5",0.545567746849624
"341","0.5","p","ca1","10000","0.75",0.543430552590882
"342","0.5","p","classical","10000","0.75",0.547277926356145
"343","0.5","p","D","10000","0.75",0.544121995676785
"344","0.5","p","I50","10000","0.75",0.548833801517597
"345","0.5","p","I500","10000","0.75",0.545623969728709
"346","0.5","p","ca1","10000","1",0.501809419949224
"347","0.5","p","classical","10000","1",0.504053071262596
"348","0.5","p","D","10000","1",0.505139299786178
"349","0.5","p","I50","10000","1",0.504038232990438
"350","0.5","p","I500","10000","1",0.501633969797826
"351","0.5","p","ca1","10000","1.5",0.471664500880021
"352","0.5","p","classical","10000","1.5",0.472282341822238
"353","0.5","p","D","10000","1.5",0.473927404520807
"354","0.5","p","I50","10000","1.5",0.471466096596333
"355","0.5","p","I500","10000","1.5",0.471158786445029
"356","0.5","p","ca1","10000","2",0.427893766195879
"357","0.5","p","classical","10000","2",0.430576094593283
"358","0.5","p","D","10000","2",0.43192469977722
"359","0.5","p","I50","10000","2",0.431223495886953
"360","0.5","p","I500","10000","2",0.429320722152945
"361","0.5","p","ca1","10000","3",0.344053487228629
"362","0.5","p","classical","10000","3",0.351735034784293
"363","0.5","p","D","10000","3",0.342764229250641
"364","0.5","p","I50","10000","3",0.34471497884446
"365","0.5","p","I500","10000","3",0.347047249664024
"366","0.5","p","ca1","10000","4",0.316687851589852
"367","0.5","p","classical","10000","4",0.325671398814316
"368","0.5","p","D","10000","4",0.311688381987571
"369","0.5","p","I50","10000","4",0.316157076652333
"370","0.5","p","I500","10000","4",0.309748590343483
"371","0.5","p","ca1","10000","5",0.31050626731091
